PF,num_test,modelDL,modelET,blast,hmm,protenn
PF00125,5,0.8,0.19999999999999996,1.0,1.0,0.19999999999999996
PF00328,5,0.0,0.0,0.4,0.4,0.4
PF01230,4,0.0,0.0,0.25,0.0,0.0
PF04883,3,0.0,0.0,0.6666666666666667,0.33333333333333337,0.0
PF00529,5,0.19999999999999996,0.0,0.4,1.0,0.0
PF13437,8,0.0,0.0,0.75,0.5,0.125
PF00403,2,0.0,0.0,1.0,1.0,0.5
PF18071,1,0.0,1.0,0.0,0.0,0.0
PF00423,1,0.0,1.0,1.0,0.0,1.0
PF17914,2,1.0,1.0,0.5,0.0,0.0
PF02301,14,0.0,0.0,0.1428571428571429,0.4285714285714286,0.0
PF00104,62,0.0,0.0,0.3548387096774194,0.06451612903225812,0.016129032258064502
PF10116,3,0.33333333333333337,0.33333333333333337,0.6666666666666667,0.33333333333333337,0.0
PF03328,4,1.0,0.0,1.0,0.0,1.0
PF13694,1,1.0,1.0,1.0,1.0,1.0
PF01627,1,0.0,0.0,0.0,0.0,0.0
PF10090,3,0.0,0.0,0.33333333333333337,0.0,0.0
PF01856,1,0.0,0.0,0.0,0.0,0.0
PF01628,4,0.0,0.0,0.0,0.25,0.0
PF16954,2,0.0,0.5,1.0,1.0,1.0
PF16815,7,0.2857142857142857,0.0,0.0,0.0,0.0
PF09486,2,0.5,1.0,1.0,0.5,0.0
PF07201,4,0.75,0.0,1.0,0.5,0.0
PF12456,1,0.0,1.0,0.0,0.0,1.0
PF12296,7,0.0,0.0,0.1428571428571429,0.0,0.0
PF12161,19,0.0,0.0,0.8421052631578947,0.10526315789473684,0.052631578947368474
PF04313,3,0.0,0.0,0.33333333333333337,0.0,0.0
PF01430,2,0.0,0.0,0.0,0.5,0.0
PF12844,7,1.0,0.1428571428571429,1.0,0.8571428571428572,0.2857142857142857
PF13463,6,1.0,0.0,1.0,1.0,0.0
PF06224,17,0.0,0.0,0.9411764705882353,0.11764705882352944,0.0
PF17007,2,0.0,0.0,0.0,0.0,0.0
PF14908,2,0.0,0.0,1.0,0.0,0.0
PF18289,3,0.0,0.0,1.0,0.33333333333333337,0.0
PF04005,3,0.0,0.0,0.0,0.0,0.0
PF09749,4,0.0,0.0,0.0,0.25,0.0
PF13787,4,0.0,0.0,0.25,0.25,0.0
PF07586,4,0.0,0.0,0.0,0.25,0.0
PF09790,2,1.0,0.0,0.0,0.0,0.5
PF01750,2,0.0,0.0,0.0,0.5,0.0
PF01968,2,1.0,0.5,0.5,1.0,1.0
PF02538,4,0.0,0.0,0.0,0.0,0.0
PF00702,33,0.3939393939393939,0.12121212121212122,0.696969696969697,1.0,0.0
PF08282,3,0.0,1.0,0.0,0.6666666666666667,0.0
PF06776,2,0.0,0.0,0.5,0.0,0.0
PF10416,14,0.2142857142857143,0.0,0.8571428571428572,0.2857142857142857,0.9285714285714286
PF07140,1,1.0,1.0,1.0,0.0,1.0
PF05004,1,0.0,0.0,0.0,0.0,0.0
PF10498,1,0.0,0.0,0.0,1.0,0.0
PF00047,4,1.0,1.0,1.0,1.0,0.25
PF17517,7,0.0,0.0,0.0,0.0,0.0
